වචනය,"සමාන පදමාලාව"
"අතීතකාල ක්‍රියාව","[නා.] (ව්‍යාක.) යම් ක්‍රියාවක් කර අවසාන වූ බව හඟවන ආඛ්‍යාත රූපය; කර නිම වූ අර්ථයක් ප්‍රකාශ කරන ක්‍රියාව."
"අතීත ඥානය","[නා.] අතීත භවය දක්නා නුවණ; පෙර ඉපිද සිටි ජාති පිළිබඳ ව දැනගන්නා නුවණ."
"අතීත හේතු","[නා.බහු.] (අභි.) පටිච්ච සමුප්පාදයෙහි දැක්වෙන පරිදි වර්තමාන භවයට ප්‍රත්‍යය වූ ද, අතීත භවයට අයත් වූ ද හේතු.
"
"අතීතාරම්මණ, අතීතාලම්බන","[වි.] අතීතය අරමුණු කොට ඇති; ඉක්ම ගිය සංසිද්ධි ආදිය අරමුණු කොට පවත්නා"
අතීන්ද්‍රිය,"[වි.] ඉන්ද්‍රිය ගෝචර නොවූ; ඉන්ද්‍රිය මාර්ගයෙන් දැන ගැනීමට නොහැකි.
[නා.ප්‍ර.] සිත; ආත්මය.
"
අතීසාරය,"[නා.] අධික ලෙස චිරේචනය වීමේ රෝගය; පාචනය."
"අතු කේලම","(කථා.) [නා.] කෙනෙකුගෙන් අසාගෙන තව කෙනෙකුට කියන කේලම."
"අතු කොටුව","1. (කථා.) [නා.] මසුන් ඇල්ලීම පිණිස වැව් ගංගා ආදියෙහි අතු කැබලි, කෝටු ආදිය හරස් කොට බැඳ සාදාගත් කොටුව.
<br>2. [නා.] වැසිකිළි, කැසිකිළි කටයුතු සඳහා යොදා ගන්නා පොල් අතුවලින් ආවරණය කළ කොටුව."
"අතු ගංගාව","[නා.] ගංගාවකට ගලා බසින ශාඛා නදිය."
අතුට,"1. [පූර්ව.ක්‍රි.] එළා; දිග ඇර.
<br>2. [පූර්ව.ක්‍රි.] විසුරුවා; ඉස."
"අතුණු බහන","1. [නා.] මහ බඩවැල; මහාන්ත්‍රය නැමුණු තැන්වල බැඳගෙන සිටිනා සිවිය.
<br>2. (පාරිභා.) [නා.] අතුරු නොදී එපිට මෙපිට නොයන ලෙස බැඳ සිටින සිවිය; අන්තරංගයෙන් කොටසක් දරා සිටින පටක නැම්ම (=mesentery).
"
අතුනතු,"[වි.] තමා අයිති; තමන් සතු."
අතුපතර,"[නා.ප්‍ර.] විහිදී ගිය අතු; පැතිර සිටින ශාඛා."
අතුපත්,"[නා.බහු.] අතු හා කොළ; ශාඛා හා පත්‍ර."
අතුබළය,"[නා.] ගසක කඳකින් අත්තක් බෙදී යන තැන; කරුව; දෙබල; වෙළය."
"අතු බැඳීම","1. (පාරිභා.) [නා.] ගසේ තිබිය දී ම අත්තක් මුල් ඇද්දවීම එය බිමට පාත් කොට කොටසක් පස යට කිරීම (=gootee layering).
<br>2. [නා.] වහලයක් පොල් අතුවලින් සෙවිලි කිරීම."
"අතු මීය","(කථා.) [නා.] (ගසක) අත්තක බැඳි මීය; දඬුවැල් බෑ මීය."
අතුර,"1. [නා.ප්‍ර.] මැද්ද; මධ්‍යය; අභ්‍යන්තරය.
<br>2. [නා.ප්‍ර.] අතරතුර කාලය.
<br>3. [නා.ප්‍ර.] ඉඩ; අවකාශය.
<br>4. [නා.ප්‍ර.] ‍තොරතුර; පුවත.
<br>5. [නා.ප්‍ර.] ගසින් ගසට මාරු වී යෑම පිණිස ඒවා ඉහළින් ඈඳා සෑදූ රැහැන් මග.
<br>6. [නා.ප්‍ර.] කුඹුරක එක් වරකට හෑ යුතු කොටස වෙන් කර ගැනීම පිණිස පළමුවෙන් ගසන හීවිට; සී සෑම පිණිස හී විටක් ගසා කුඹුරක වෙන් කර ගන්නා තීරුව.
<br>7. [නා.ප්‍ර.] අනතුර; අන්තරාය; උපද්‍රවය; ආපදාව
<br>8. [නා.ප්‍ර.] ඇතිරිල්ල; ආස්තරණය; ඇතිරිය."
අතුරතුර,"[නා.ප්‍ර.] අතර වූ අවකාශය."
අතුරනවා,"1. [ක්‍රි.] එළවනවා; දිග අරිනවා; විසුරුවනවා.
<br>2. [ක්‍රි.] ඉසිනවා.
<br>3. [ක්‍රි.] ඇතිරිලි එළා පිළියෙල කරනවා; පනවනවා."
අතුරන්නාව,"[නා.] (කමත්.) ලොකු පැදුර; මාගල."
අතුරැල්ල,"(කථා.) [නා.] පොල් අතු සෙවිලි කළ වහල කෙළවරින් පාතට එල්ලා වැටෙන කොළ පෙළ."
අතුරිත,"[වි.] ඉක්මන් නොවූ; කඩිනම් නොවූ; අලස."
"අතුරිත චාරිකාව","[නා.] බුදුන් වහන්සේ පිඬු සිඟා වැඩීම, දහම් දෙසීම ආදිය සඳහා ගම්නියම්ගම්වල පිළිවෙළින් සැරිසැරීම."
අතුරු,"1. [වි.] මැදි; මැද පිහිටි; මධ්‍යගත.
<br>2. [වි.] අමතර.
<br>3. [නා.ප්‍ර.] ඉඩ; අවකාශය.
<br>4. [නා.ප්‍ර.] වෙනස; අමුත්ත; විශේෂය."
"අතුරු අන්තරාව","(කථා.) [නා.] උපද්‍රව; ආපදාව; අනතුර."
"අතුරු අවුණ","[නා.] කඩ වීදිය; අංගාණිය."
"අතුරු ආබාධය","1. [නා.] ආබාධයක් පවතින අතර හට ගැනෙන අන් ආබාධය.
<br>2. [නා.] එක් ආබාධයකට ප්‍රතිකාර පිණිස ගන්නා ඖෂධ නිසා ඇති වන වෙනත් සංකූලතා."
"අතුරු කඩ","(පාරිභා.) [නා.] දත් අතර පවතින හිදෑස (=diastema)."
"අතුරු කතාව","[නා.] කථාවක් මැද එයට ඇතුළත් යම් කරුණක් පැහැදිලි කරනු ලබන විස්තරය."
"අතුරු කද","[නා.] මැදින් බර එල්වා දෙදෙනෙකු විසින් දෙකෙළවරින් උසුලාගෙන යන කද."
"අතුරු ගිවිසුම","(පාරිභා.) [නා.] ප්‍රධාන පොරොන්දු පත්‍රයට අදාළ කාරණය පිළිබඳ ව ඇති කර ගන්නා අනෙක් පොරොන්දුව (=sub contract)."
අතුරුණුව,"1. (පාරිභා.) [නා.] මාවවුලු ආදි සතුන්ගේ පියාපත් වශයෙන් ක්‍රියාවේ යෙදෙන චර්ම පටලය (=patagium).
<br>2. [නා.] ඇතුළත වැස්මක් හෙවත් පෝරුවක් වශයෙන් අතුරන ලද්ද (=lining)."
"අතුරුදන් වෙනවා, අතුරුදහන් වෙනවා","1. [ක්‍රි.] නොපෙනී යනවා.
<br>2. [ක්‍රි.] පහ වෙනවා; දුරු වෙනවා."
"අතුරු දශාව","[නා.] (ජ්‍යෝති) කේන්දරයක මහ දසා අතරට වැටෙන අනු දසාව; අන්තර් දශාව."
"අතුරු නියෝගය","(පාරිභා.) [නා.] අවසාන තීන්දුවට කලින් දෙන අතර මැදි නියෝගය (=interlocutory order)."
"අතුරු පලය","(පාරිභා.) [නා.] යමක් නිෂ්පාදනය කිරීමේ දී සෑදෙන වෙනත් ඵලයක් (= by product)."
අතුරුපස,"[නා.ප්‍ර.] ප්‍රධාන ආහාර වේල් වලින් පසුව ගන්නා පලතුරු හෝ වෙනත් රසවත් කැවිලි පෙවිලි ආදිය.
"
"අතුරු බත","[නා.] උදය, දවල් අතරතුර කාලය; ආහාර වේල් දෙකක් අතරතුර කාලය; පෙරවරුව; අන්තරාභක්තය."
"අතුරුමග, අතුරු මඟ","[නා.] මාර්ගයක් හෝ ගමනක් අතරතුර කොටසක්; විහිදී ගිය මඟ."
අතුරුමාව,"[නා.] අක්මාව; කැවුත්ත."
"අතුරු මැතිවරණය","[නා.] මහ මැතිවරණයකින් පසු ඇති වූ මන්ත්‍රී පුරප්පාඩුවක් පිරවීම සඳහා පවත්වන මැතිවරණය."
"අතුරු මෝසම්","(කථා.) [නා.] නඩුවක් විභාග වන අතරතුර දී අමුතුවෙන් කාරණයක් ඇතුළත් කිරීම සඳහා උසාවියේ අවසර ලබා ගැනීම පිණිස ඉදිරිපත් කරන ඉල්ලීම."
"අතුරු වගාව","(පාරිභා.) [නා.] ප්‍රධාන භෝග වගාව ඇති බිමෙහි ම කරන සුළු අතිරේක භෝග වගාව (=inter cultivation)."
"අතුරු වසා","[නා.ප්‍ර.] අඳනය; අන්තරා වාසකය; තුන් සිවුරෙන් එකක්."
"අතුරු වැටිය","(කථා.) [නා.] හේන් එළි කිරීමේදී කඳු වැටියක් මුදුනේ නොකපා ඉතිරි කරනු ලබන කැලෑරොද."
"අතුරු ව්‍යවස්ථාව","1. [නා.] පැතුරුණු ව්‍යවස්ථාවක් සංශෝධනය කොට පැන වූ ව්‍යවස්ථාව.
<br>2. [නා.] නීතියක් යටතේ පැනවූ රීතිය; රෙකුලාසිය."
"අතුරු සිදුරු","[නා.බහු.] ඉඩ කඩ; අවකාශය; පරතරය."
අතුරොද,"[නා.] ගස් වලින් එල්ලා වැටෙන අතු සමූහය."
